nct_id,nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at
NCT00959699,"ClinicalTrials.gov processed this data on August 01, 2018",2009-07-29,2013-05-08,NA,2017-03-09,2009-08-14,2009-08-17,Estimate,2013-07-26,2013-08-30,Estimate,NA,NA,NA,2017-03-09,2017-04-07,Actual,November 2009,NA,2009-11-30,March 2017,2017-03-31,October 2012,Actual,2012-10-31,May 2012,Actual,2012-05-31,NA,Interventional,NA,,"A Phase 2b, Safety and Efficacy Study of Boceprevir in Patients Coinfected With HIV and Hepatitis C (P05411 AM4)","A Phase 2b, Safety and Efficacy Study of Boceprevir in Patients Coinfected With HIV and Hepatitis C (Protocol No. P05411)",Completed,NA,Phase 2,99,Actual,Merck Sharp & Dohme Corp.,,2,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,,Yes,"http://www.merck.com/clinical-trials/pdf/Merck%20Procedure%20on%20Clinical%20Trial%20Data%20Access%20Final_Updated%20July_9_2014.pdf
http://engagezone.msd.com/ds_documentation.php",2018-08-02T09:16:37Z,2018-08-02T09:16:37Z
NCT00829010,"ClinicalTrials.gov processed this data on August 01, 2018",2009-01-22,2012-05-08,NA,2017-10-23,2009-01-22,2009-01-26,Estimate,2012-05-31,2012-07-06,Estimate,NA,NA,NA,2017-10-23,2017-11-27,Actual,"February 17, 2009",NA,2009-02-17,October 2017,2017-10-31,"June 27, 2012",Actual,2012-06-27,"June 13, 2011",Actual,2011-06-13,NA,Interventional,NA,,"Primary and Booster Vaccination Study With a Pneumococcal Vaccine in HIV Infected, HIV Exposed Uninfected and HIV Uninfected Children 6 to 10 Weeks of Age.","Primary and Booster Vaccination Course in Human Immunodeficiency Virus (HIV) Infected Infants, HIV Exposed Uninfected Infants and Unexposed Uninfected Infants Receiving the Pneumococcal Vaccine GSK 1024850A.",Completed,NA,Phase 3,489,Actual,GlaxoSmithKline,"The study aimed to enrol 100 HIV+/+ subjects but succeeded to enrol 83 mainly due to decrease of vertical HIV transmission in South Africa. Some subjects, HIV+ at screening, tested negative at subsequent HIV testing, were reallocated in HIV+/-Group.",5,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Yes,Patient-level data for this study will be made available through www.clinicalstudydatarequest.com following the timelines and process described on this site.,2018-08-02T10:04:13Z,2018-08-02T10:04:13Z
NCT00764946,"ClinicalTrials.gov processed this data on August 01, 2018",2008-10-01,2012-02-13,NA,2017-02-14,2008-10-01,2008-10-02,Estimate,2012-03-16,2012-04-12,Estimate,NA,NA,NA,2017-02-14,2017-03-21,Actual,October 2008,NA,2008-10-31,February 2017,2017-02-28,February 2011,Actual,2011-02-28,February 2011,Actual,2011-02-28,NA,Interventional,NA,,A Study of Raltegravir in a Diverse Cohort of HIV-Infected Patients (0518-055),"A Phase III Open-Label Single Arm Study to Evaluate the Safety, Tolerability, and Efficacy of MK0518/Raltegravir in a Diverse Cohort of HIV-Infected Patients",Completed,NA,Phase 3,209,Actual,Merck Sharp & Dohme Corp.,,1,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Yes,"http://www.merck.com/clinical-trials/pdf/Merck%20Procedure%20on%20Clinical%20Trial%20Data%20Access%20Final_Updated%20July_9_2014.pdf
http://engagezone.msd.com/ds_documentation.php",2018-08-02T10:29:19Z,2018-08-02T10:29:19Z
NCT00687544,"ClinicalTrials.gov processed this data on August 01, 2018",2008-05-27,2011-09-22,NA,2017-03-08,2008-05-29,2008-05-30,Estimate,2011-12-22,2012-01-30,Estimate,NA,NA,NA,2017-03-08,2017-04-06,Actual,December 2005,NA,2005-12-31,March 2017,2017-03-31,September 2008,Actual,2008-09-30,September 2008,Actual,2008-09-30,NA,Interventional,NA,,Efficacy and Safety of PegIntron Plus Ribavirin for Treatment of Chronic Hepatitis C in HIV-Infected Subjects (Study P04469)(TERMINATED),Efficacy and Safety of PegIntron Plus Ribavirin for Treatment of Chronic Hepatitis C Infection in HIV-Infected Persons Not Previously Treated With Interferon,Terminated,NA,Phase 4,11,Actual,Merck Sharp & Dohme Corp.,The study was terminated early due to low enrollment. The primary and secondary outcomes were not evaluated. A formal safety analysis was not performed for the 11 participants enrolled in the study.,1,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,,Yes,"http://www.merck.com/clinical-trials/pdf/Merck%20Procedure%20on%20Clinical%20Trial%20Data%20Access%20Final_Updated%20July_9_2014.pdf
http://engagezone.msd.com/ds_documentation.php",2018-08-02T10:56:37Z,2018-08-02T10:56:37Z
NCT00623597,"ClinicalTrials.gov processed this data on August 01, 2018",2008-02-18,2015-12-10,NA,2016-02-04,2008-02-18,2008-02-26,Estimate,2015-12-10,2016-01-14,Estimate,NA,NA,NA,2016-02-04,2016-03-07,Estimate,June 2008,NA,2008-06-30,February 2016,2016-02-29,March 2010,Actual,2010-03-31,March 2010,Actual,2010-03-31,NA,Interventional,NA,The Safety Analysis Population (SAP) comprised all participants who received at least one dose of study medication. The SAP was used for all efficacy and safety analyses,A Study of Invirase (Saquinavir)/Ritonavir in HIV-Infected Infants and Children.,A Phase I/II Study of InviraseÂ® Boosted With Ritonavir in HIV Infected Infants and Children 4 Months to Less Than 6 Years Old,Completed,NA,Phase 2,18,Actual,Hoffmann-La Roche,,1,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,,Yes,NA,2018-08-02T11:19:43Z,2018-08-02T11:19:43Z
NCT00586339,"ClinicalTrials.gov processed this data on August 01, 2018",2007-12-21,2012-02-16,NA,2017-09-25,2007-12-21,2008-01-04,Estimate,2012-02-16,2012-03-22,Estimate,NA,NA,NA,2017-09-25,2017-10-26,Actual,"January 17, 2008",NA,2008-01-17,August 2016,2016-08-31,"July 18, 2011",Actual,2011-07-18,"July 18, 2011",Actual,2011-07-18,NA,Interventional,NA,,Safety and Immunogenicity of GlaxoSmithKline Biologicals' HPV Vaccine 580299 (Cervarix TM) in HIV Infected Females,Evaluation of the Safety and Immunogenicity of GlaxoSmithKline Biologicals' HPV Vaccine 580299 (Cervarix TM) in Adult Human Immunodeficiency Virus (HIV) Infected Female Subjects,Completed,NA,Phase 2,150,Actual,GlaxoSmithKline,,3,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Yes,Patient-level data for this study will be made available through www.clinicalstudydatarequest.com following the timelines and process described on this site.,2018-08-02T11:33:45Z,2018-08-02T11:33:45Z
NCT00443729,"ClinicalTrials.gov processed this data on August 01, 2018",2007-03-02,2009-10-12,NA,2017-02-14,2007-03-05,2007-03-06,Estimate,2009-10-12,2009-11-19,Estimate,NA,NA,NA,2017-02-14,2017-03-21,Actual,May 2007,NA,2007-05-31,February 2017,2017-02-28,April 2009,Actual,2009-04-30,October 2008,Actual,2008-10-31,NA,Interventional,NA,,MK0518 in the Treatment of HIV-Infected Patients Switched From a Protease Inhibitor Regimen (0518-033)(TERMINATED),"A Multicenter, Double-Blind, Randomized, Active-Controlled Study to Evaluate the Safety and Antiretroviral Activity of MK0518 Versus KALETRA in HIV-Infected Patients Switched From a Stable KALETRA-Based Regimen - Study B",Terminated,NA,Phase 3,355,Actual,Merck Sharp & Dohme Corp.,Study was terminated after the primary efficacy analysis at Week 24 did not demonstrate non-inferiority of MK0518 versus KALETRAâ„¢.,2,NA,"Primary efficacy analysis at Week 24 did not demonstrate non-inferiority of raltegravir versus
    lopinavir (+) ritonavir",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Yes,"http://www.merck.com/clinical-trials/pdf/Merck%20Procedure%20on%20Clinical%20Trial%20Data%20Access%20Final_Updated%20July_9_2014.pdf
http://engagezone.msd.com/ds_documentation.php",2018-08-02T12:22:16Z,2018-08-02T12:22:16Z
NCT00443703,"ClinicalTrials.gov processed this data on August 01, 2018",2007-03-02,2009-10-16,NA,2017-02-14,2007-03-05,2007-03-06,Estimate,2009-10-16,2009-12-01,Estimate,NA,NA,NA,2017-02-14,2017-03-21,Actual,May 2007,NA,2007-05-31,February 2017,2017-02-28,April 2009,Actual,2009-04-30,April 2009,Actual,2009-04-30,NA,Interventional,NA,,MK0518 in the Treatment of HIV-Infected Patients Switched From a Protease Inhibitor Regimen (0518-032)(TERMINATED),"A Multicenter, Double-Blind, Randomized, Active-Controlled Study to Evaluate the Safety and Antiretroviral Activity of MK0518 Versus KALETRA in HIV-Infected Patients Switched From a Stable KALETRA-Based Regimen - Study A",Terminated,NA,Phase 3,352,Actual,Merck Sharp & Dohme Corp.,The reason for early termination: Study was terminated after the primary efficacy analysis at Week 24 did not demonstrate non-inferiority of MK0518 versus KALETRAâ„¢.,2,NA,"primary efficacy analysis at Week 24 did not demonstrate non-inferiority of raltegravir versus
    lopinavir (+) ritonavir",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Yes,"http://www.merck.com/clinical-trials/pdf/Merck%20Procedure%20on%20Clinical%20Trial%20Data%20Access%20Final_Updated%20July_9_2014.pdf
http://engagezone.msd.com/ds_documentation.php",2018-08-02T12:22:17Z,2018-08-02T12:22:17Z
NCT00369941,"ClinicalTrials.gov processed this data on August 01, 2018",2006-08-29,2009-09-18,NA,2017-02-14,2006-08-29,2006-08-30,Estimate,2010-04-20,2010-05-11,Estimate,NA,NA,NA,2017-02-14,2017-03-21,Actual,August 2006,NA,2006-08-31,February 2017,2017-02-28,February 2012,Actual,2012-02-29,May 2009,Actual,2009-05-31,NA,Interventional,NA,,"A Study to Evaluate the Safety and Antiretroviral Activity of MK-0518 Versus Efavirenz in Treatment Naive HIV-Infected Patients, Each in Combination With TRUVADA (0518-021 EXT)","A Multicenter, Double-Blind, Randomized, Active-Controlled Study to Evaluate the Safety and Antiretroviral Activity of MK-0518 Versus Efavirenz in Treatment Naive HIV-Infected Patients, Each in Combination With TRUVADAâ„¢",Completed,NA,Phase 3,566,Actual,Merck Sharp & Dohme Corp.,,2,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,,Yes,"http://www.merck.com/clinical-trials/pdf/Merck%20Procedure%20on%20Clinical%20Trial%20Data%20Access%20Final_Updated%20July_9_2014.pdf
http://engagezone.msd.com/ds_documentation.php",2018-08-02T12:48:28Z,2018-08-02T12:48:28Z
NCT00350272,"ClinicalTrials.gov processed this data on August 01, 2018",2006-07-06,2016-02-22,2014-01-20,2016-05-16,2006-07-07,2006-07-10,Estimate,2016-02-22,2016-03-22,Estimate,2014-01-20,2014-02-13,Estimate,2016-05-16,2016-06-17,Estimate,May 2006,NA,2006-05-31,May 2016,2016-05-31,April 2009,Actual,2009-04-30,August 2007,Actual,2007-08-31,NA,Interventional,NA,"The baseline analysis population was the safety population, defined as all randomized subjects who received at least one dose of study drug.","Elvucitabine/Efavirenz/Tenofovir vs. Lamivudine/Efavirenz/Tenofovir in HIV-1 Infected, Treatment Naive Subjects","A Randomized, Blinded, 12-week Comparison of Elvucitabine/Efavirenz/Tenofovir Versus Lamivudine/Efavirenz/Tenofovir in HIV-1 Infected, Treatment Naive Subjects. There is a 36 Week, Open Label, Extension Phase for Eligible Subjects.",Completed,NA,Phase 2,76,Actual,Achillion Pharmaceuticals,,2,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,,Yes,Individual Participant Data is available to only this study's Principal Investigator upon request.,2018-08-02T12:54:31Z,2018-08-02T12:54:31Z
NCT00293254,"ClinicalTrials.gov processed this data on August 01, 2018",2006-02-15,2009-08-20,NA,2017-02-14,2006-02-15,2006-02-17,Estimate,2009-09-29,2009-09-30,Estimate,NA,NA,NA,2017-02-14,2017-03-21,Actual,February 2006,NA,2006-02-28,February 2017,2017-02-28,May 2011,Actual,2011-05-31,October 2007,Actual,2007-10-31,NA,Interventional,NA,,A Study to Evaluate the Safety and Efficacy of Raltegravir (MK0518) in HIV-Infected Patients Failing Current Antiretroviral Therapies (0518-019),"A Multicenter, Double-Blind, Randomized, Placebo-Controlled Study to Evaluate the Safety and Antiretroviral Activity of MK-0518 in Combination With an Optimized Background Therapy (OBT), Versus Optimized Background Therapy Alone, in HIV-Infected Patients With Documented Resistance to at Least 1 Drug in Each of the 3 Classes of Licensed Oral Antiretroviral Therapies",Completed,NA,Phase 3,351,Actual,Merck Sharp & Dohme Corp.,"Adverse events are reported by original treatment group for the entire 240-week study, including double-blind, open-label, and OLPVF phases; 83 of 119 participants in the placebo group also received raltegravir in the open-label or OLPVF phase.",2,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Yes,"http://www.merck.com/clinical-trials/pdf/Merck%20Procedure%20on%20Clinical%20Trial%20Data%20Access%20Final_Updated%20July_9_2014.pdf
http://engagezone.msd.com/ds_documentation.php",2018-08-02T13:11:57Z,2018-08-02T13:11:57Z
NCT00000143,"ClinicalTrials.gov processed this data on August 01, 2018",1999-09-23,2015-07-01,NA,2016-02-18,1999-09-23,1999-09-24,Estimate,2016-02-18,2016-03-14,Estimate,NA,NA,NA,2016-02-18,2016-03-14,Estimate,May 1997,NA,1997-05-31,July 2015,2015-07-31,June 2000,Actual,2000-06-30,June 2000,Actual,2000-06-30,NA,Interventional,GCCRT,,Studies of Ocular Complications of AIDS (SOCA)--Ganciclovir-Cidofovir CMV Retinitis Trial (GCCRT),Studies of Ocular Complications of AIDS (SOCA)--Ganciclovir-Cidofovir CMV Retinitis Trial (GCCRT),Completed,NA,Phase 3,61,Actual,Johns Hopkins Bloomberg School of Public Health,,2,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,,Yes,NA,2018-08-02T14:33:36Z,2018-08-02T14:33:36Z
NCT03575962,"ClinicalTrials.gov processed this data on August 01, 2018",2018-06-12,NA,NA,2018-07-23,2018-06-29,2018-07-03,Actual,NA,NA,NA,NA,NA,NA,2018-07-23,2018-07-24,Actual,"June 19, 2018",Actual,2018-06-19,July 2018,2018-07-31,"August 2, 2018",Anticipated,2018-08-02,"August 2, 2018",Anticipated,2018-08-02,NA,Interventional,NA,,A Study to Compare the Relative Bioavailability of Two Different Formulations of GSK3640254,"A Single Centre, 2-period, Randomized, Open-label Phase 1 Study to Assess the Relative Bioavailability of a Mesylate Salt Capsule of GSK3640254 Compared to a Hydrochloride Salt Capsule in Healthy Participants",Recruiting,NA,Phase 1,14,Anticipated,ViiV Healthcare,,2,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,Yes,IPD for this study will be made available via the Clinical Study Data Request site.,2018-08-01T21:14:03Z,2018-08-01T21:14:03Z
NCT03564613,"ClinicalTrials.gov processed this data on August 01, 2018",2018-06-11,NA,NA,2018-07-11,2018-06-11,2018-06-21,Actual,NA,NA,NA,NA,NA,NA,2018-07-11,2018-07-13,Actual,"June 12, 2018",Actual,2018-06-12,July 2018,2018-07-31,"April 29, 2022",Anticipated,2022-04-29,"September 18, 2019",Anticipated,2019-09-18,NA,Observational,NA,,Study to Define Safety and Effectiveness of Dolutegravir (DTG) Use in Human Immunodeficiency Virus (HIV) Positive Pregnant Women,"DOLOMITE NEAT ID Network Study: A Prospective, Multi-site Observational Study to Define the Safety and Effectiveness of Dolutegravir Use in HIV Positive Pregnant Women","Active, not recruiting",NA,NA,250,Anticipated,ViiV Healthcare,,NA,1,NA,FALSE,NA,NA,NA,FALSE,TRUE,FALSE,NA,NA,NA,NA,,Yes,IPD for this study will be made available via the Clinical Study Data Request Site,2018-08-01T21:15:35Z,2018-08-01T21:15:35Z
