mesh,outcome_concept,Drug_cnt,trial count,outcome_count_for_mesh,total_trials_for mesh,DE_trial_proportion,Commonness,DE type
narcolepsy,Maintenance of Wakefulness Test (MWT),2,2,4,6,0.333333333,Somewhat,non-Lab
neoplasm metastasis,Confirmed Disibility Progression (CDP) Events,2,1,4,2,0.5,unique,Event
neoplasm metastasis,Expanded Disability Status Scale (EDSS),2,1,4,2,0.5,unique,Observation
neoplasm metastasis,Overall Response Rate (ORR),2,1,4,2,0.5,unique,Lab
neoplasm metastasis,"Response Evaluation Criteria in Solid Tumors, version 1.1 (RECIST 1.1)",2,1,4,2,0.5,unique,Lab
neoplasms,Clinical Activity,8,1,10,15,0.066666667,unique,Lab
neoplasms,Complete Response (CR) ,8,2,10,15,0.133333333,Somewhat,Lab
neoplasms,Objective response Rate,8,1,10,15,0.066666667,unique,Lab
neoplasms,Overall Response Rate (ORR),8,3,10,15,0.2,Somewhat,Lab
neoplasms,partial response,8,1,10,15,0.066666667,unique,Lab
neoplasms,PET/CT scan,8,1,10,15,0.066666667,unique,non-Lab
neoplasms,Progression-Free Survival (PFS),8,1,10,15,0.066666667,unique,Lab
neoplasms,Response Assessment in Neuro-Oncology (RANO),8,2,10,15,0.133333333,Somewhat,Lab
neoplasms,"Response Evaluation Criteria in Solid Tumors, version 1.1 (RECIST 1.1)",8,5,10,15,0.333333333,Somewhat,Lab
neoplasms,tumor management,8,1,10,15,0.066666667,unique,non-Lab
neuroendocrine tumors,concordance in tumor detection,2,1,5,4,0.25,unique,non-Lab
neuroendocrine tumors,discordance in tumor detection,2,1,5,4,0.25,unique,non-Lab
neuroendocrine tumors,PET/CT scan,2,1,5,4,0.25,unique,non-Lab
neuroendocrine tumors,Progression-Free Survival (PFS),2,1,5,4,0.25,unique,Lab
neuroendocrine tumors,tumor management,2,1,5,4,0.25,unique,non-Lab
opioid-related disorders,Subjective Opiate Withdrawal Scale (SOWS) scores,1,2,1,2,1,completely,Symptom
parkinson disease,OFF state time,1,4,1,4,1,completely,Observation
phenylketonurias,Plasma Phenylalanine (Phe),1,1,1,2,0.5,unique,Lab
pneumonia,Clinical Response,2,3,1,3,1,completely,Lab
prostatic neoplasms,Metastasis-Free Survival (MFS),2,2,1,2,1,completely,Lab
"protoporphyria, erythropoietic",Direct Sunlight Exposure,1,2,5,3,0.666666667,Very,non-Lab
"protoporphyria, erythropoietic",Pain,1,1,5,3,0.333333333,unique,Symptom
"protoporphyria, erythropoietic",Pain ,1,1,5,3,0.333333333,unique,Symptom
"protoporphyria, erythropoietic",phototoxic reaction,1,1,5,3,0.333333333,unique,Observation
"protoporphyria, erythropoietic",visual analogue scale,1,1,5,3,0.333333333,unique,non-Lab
psoriasis,Physician's Global Assessment (PGA),2,6,2,8,0.75,Very,Observation
psoriasis,Psoriasis Area and Severity Index (PASI) Score,2,8,2,8,1,completely,non-Lab
"pulmonary disease, chronic obstructive",Trough Forced Expiratory Volume in 1 Second (FEV1),1,2,1,2,1,completely,non-Lab
"purpura, thrombocytopenic",Platelet,2,4,1,4,1,completely,Lab
"purpura, thrombocytopenic, idiopathic",Platelet,1,2,1,2,1,completely,Lab
"purpura, thrombotic thrombocytopenic",Platelet,1,2,1,2,1,completely,Lab
schizophrenia,Positive and Negative Syndrome Scale (PANSS),1,3,1,3,1,completely,Questionnaire
seizures,Drop Seizure Frequency,2,2,2,4,0.5,Very,Event
seizures,seizure frequency,2,2,2,4,0.5,Very,Event
"sexual dysfunctions, psychological",FSDS-DAO bothered by low desire item 13,1,2,2,2,1,completely,Questionnaire
"sexual dysfunctions, psychological",FSFI desire domain,1,2,2,2,1,completely,Questionnaire
"sleep apnea, obstructive",Epworth Sleepiness Scale (ESS) Score,1,3,2,3,1,completely,Observation
"sleep apnea, obstructive",Maintenance of Wakefulness Test (MWT),1,2,2,3,0.666666667,Very,non-Lab
sleep initiation and maintenance disorders,Sleep Latency Time,1,2,1,2,1,completely,non-Lab
sleepiness,cataplexy attacks ,2,1,5,8,0.125,unique,Event
sleepiness,Clinical Global Impression-Change Score,2,1,5,8,0.125,unique,non-Lab
sleepiness,Epworth Sleepiness Scale (ESS) Score,2,6,5,8,0.75,Very,Observation
sleepiness,Maintenance of Wakefulness Test (MWT),2,4,5,8,0.5,Very,non-Lab
sleepiness,Sleep Latency Time,2,1,5,8,0.125,unique,non-Lab
thrombocytopenia,Platelet Transfusion,2,2,2,2,1,completely,Event
thrombocytopenia,Rescue Therapy,2,2,2,2,1,completely,Event
urinary tract infections,Alanine Aminotransferase (ALT),3,1,8,3,0.333333333,unique,Lab
urinary tract infections,Alkaline Phosphatase,3,1,8,3,0.333333333,unique,Lab
urinary tract infections,Aspartate Aminotransferase (AST),3,1,8,3,0.333333333,unique,Lab
urinary tract infections,Clinical Cure,3,1,8,3,0.333333333,unique,Lab
urinary tract infections,Clinical Response,3,1,8,3,0.333333333,unique,Lab
urinary tract infections,Microbiological Eradication,3,2,8,3,0.666666667,Very,Lab
urinary tract infections,Microbiological Response,3,1,8,3,0.333333333,unique,Lab
urinary tract infections,Total Bilirubin ,3,1,8,3,0.333333333,unique,Lab
vomiting,Complete Response (CR) ,1,1,3,2,0.5,unique,Symptom
vomiting,Emesis,1,1,3,2,0.5,unique,Symptom
vomiting,Rescue Medication,1,1,3,2,0.5,unique,Event
