significance_rank,DE_id,DE_description,Data_type,Data_type_description,Group_id,Group_id_description,PV,PV_description,PV_count
,393,Program (tactus) version ID (compiler timestamp),Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100023,Consent,<TMar  7 2006 08:34:01>|<TMar 15 2006 13:06:02>|[PAug  4 2009 16:14:34]|[PAug  8 2007 10:20:59]|[PJul  5 2007 14:59:10]|[PMar 21 2007 15:22:01]|[PMar 27 2009 11:29:35]|[PMay 11 2009 13:56:22]|[PNov 20 2009 11:28:36]|[TAug  4 2009 16:07:02]|[TAug  8 2007 10:26:36]|[TJul  5 2007 15:03:00]|[TMar 21 2007 15:25:12]|[TMar 27 2009 11:24:38]|[TMay 11 2009 13:50:15]|[TNov 20 2009 11:22:19]|[VAug  4 2009 16:17:54]|[VJul  5 2007 15:01:40]|[VMar 21 2007 15:24:04]|[VMar 27 2009 11:32:33]|[VMay 11 2009 13:58:58]|[VNov 20 2009 11:31:27]|[VSep 10 2007 15:40:00],Tactus Pilot1|Tactus Pilot2|Porto version V1.5.04|Porto version V1.3.5|Porto version V1.3.3|Porto version V1.2.3|Porto version V1.4.01|Porto version V1.4.02|Porto version V1.6.10|Tactus version V1.5.04|Tactus version V1.3.5|Tactus version V1.3.3|Tactus version V1.2.3|Tactus version V1.4.01|Tactus version V1.4.02|Tactus version V1.6.10|Vox version V1.5.04|Vox version V1.3.3|Vox version V1.2.3|Vox version V1.4.01|Vox version V1.4.02|Vox version V1.6.10|Vox version V1.3.12,23
,396,Number of columns displayed in round,Integer,"whole numbers, for example the age of a participant on a particular date",100030,Pairs matching,NA,NA,NA
,397,Number of rows displayed in round,Integer,"whole numbers, for example the age of a participant on a particular date",100030,Pairs matching,NA,NA,NA
,398,Number of correct matches in round,Integer,"whole numbers, for example the age of a participant on a particular date",100030,Pairs matching,NA,NA,NA
,399,Number of incorrect matches in round,Integer,"whole numbers, for example the age of a participant on a particular date",100030,Pairs matching,NA,NA,NA
,400,Time to complete round,Integer,"whole numbers, for example the age of a participant on a particular date",100030,Pairs matching,0,Test not completed,1
,401,Index for card A in round,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100032,Reaction time,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24,"Solid circle|Hollow circle|Vertical/horizontal cross ""+""|Equals-sign ""=""|Rugby-post ""H""|Solid square|Hollow square|Triangle|Smiley face|Fir-tree (3 overlapping triangles)|Heart|Diamond|Four squares|Lightning bolt|Top-hat|Linked squares|Diagonal cross|Crescent|Sitting cat|Bow tie|House|Horse-shoe ""U""|Star|Person|Knife and fork",25
,402,Index for card B in round,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100032,Reaction time,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24,"Solid circle|Hollow circle|Vertical/horizontal cross ""+""|Equals-sign ""=""|Rugby-post ""H""|Solid square|Hollow square|Triangle|Smiley face|Fir-tree (3 overlapping triangles)|Heart|Diamond|Four squares|Lightning bolt|Top-hat|Linked squares|Diagonal cross|Crescent|Sitting cat|Bow tie|House|Horse-shoe ""U""|Star|Person|Knife and fork",25
,403,Number of times snap-button pressed,Integer,"whole numbers, for example the age of a participant on a particular date",100032,Reaction time,NA,NA,NA
,404,Duration to first press of snap-button in each round,Integer,"whole numbers, for example the age of a participant on a particular date",100032,Reaction time,NA,NA,NA
,630,Touchscreen duration,Integer,"whole numbers, for example the age of a participant on a particular date",152,Process durations,NA,NA,NA
,670,Type of accommodation lived in,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100066,Household,-7|-3|1|2|3|4|5,"None of the above|Prefer not to answer|A house or bungalow|A flat, maisonette or apartment|Mobile or temporary structure (i.e. caravan)|Sheltered accommodation|Care home",7
,680,Own or rent accommodation lived in,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100066,Household,-7|-3|1|2|3|4|5|6,"None of the above|Prefer not to answer|Own outright (by you or someone in your household)|Own with a mortgage|Rent - from local authority, local council, housing association|Rent - from private landlord or letting agency|Pay part rent and part mortgage (shared ownership)|Live in accommodation rent free",8
,699,Length of time at current address,Integer,"whole numbers, for example the age of a participant on a particular date",100066,Household,-10|-3|-1,Less than a year|Prefer not to answer|Do not know,3
,709,Number in household,Integer,"whole numbers, for example the age of a participant on a particular date",100066,Household,-3|-1,Prefer not to answer|Do not know,2
,728,Number of vehicles in household,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100066,Household,-3|-1|1|2|3|4|5,Prefer not to answer|Do not know|None|One|Two|Three|Four or more,7
,738,Average total household income before tax,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100066,Household,-3|-1|1|2|3|4|5,"Prefer not to answer|Do not know|Less than 18,000|18,000 to 30,999|31,000 to 51,999|52,000 to 100,000|Greater than 100,000",7
,757,Time employed in main current job,Integer,"whole numbers, for example the age of a participant on a particular date",100064,Employment,-10|-3|-1,Less than a year|Prefer not to answer|Do not know,3
,767,Length of working week for main job,Integer,"whole numbers, for example the age of a participant on a particular date",100064,Employment,-3|-1,Prefer not to answer|Do not know,2
,777,Frequency of travelling from home to job workplace,Integer,"whole numbers, for example the age of a participant on a particular date",100064,Employment,-10|-3|-1,Less than once a week|Prefer not to answer|Do not know,3
,796,Distance between home and job workplace,Integer,"whole numbers, for example the age of a participant on a particular date",100064,Employment,-10|-3|-1,Less than one mile|Prefer not to answer|Do not know,3
,806,Job involves mainly walking or standing,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100064,Employment,-3|-1|1|2|3|4,Prefer not to answer|Do not know|Never/rarely|Sometimes|Usually|Always,6
,816,Job involves heavy manual or physical work,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100064,Employment,-3|-1|1|2|3|4,Prefer not to answer|Do not know|Never/rarely|Sometimes|Usually|Always,6
,826,Job involves shift work,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100064,Employment,-3|-1|1|2|3|4,Prefer not to answer|Do not know|Never/rarely|Sometimes|Usually|Always,6
,845,Age completed full time education,Integer,"whole numbers, for example the age of a participant on a particular date",100063,Education,-3|-2|-1,Prefer not to answer|Never went to school|Do not know,3
,864,Number of days/week walked 10+ minutes,Integer,"whole numbers, for example the age of a participant on a particular date",100054,Physical activity,-3|-2|-1,Prefer not to answer|Unable to walk|Do not know,3
,874,Duration of walks,Integer,"whole numbers, for example the age of a participant on a particular date",100054,Physical activity,-3|-1,Prefer not to answer|Do not know,2
,884,Number of days/week of moderate physical activity 10+ minutes,Integer,"whole numbers, for example the age of a participant on a particular date",100054,Physical activity,-3|-1,Prefer not to answer|Do not know,2
,894,Duration of moderate activity,Integer,"whole numbers, for example the age of a participant on a particular date",100054,Physical activity,-3|-1,Prefer not to answer|Do not know,2
,904,Number of days/week of vigorous physical activity 10+ minutes,Integer,"whole numbers, for example the age of a participant on a particular date",100054,Physical activity,-3|-1,Prefer not to answer|Do not know,2
,914,Duration of vigorous activity,Integer,"whole numbers, for example the age of a participant on a particular date",100054,Physical activity,-3|-1,Prefer not to answer|Do not know,2
,924,Usual walking pace,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100054,Physical activity,-7|-3|1|2|3,None of the above|Prefer not to answer|Slow pace|Steady average pace|Brisk pace,5
,943,Frequency of stair climbing in last 4 weeks,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100054,Physical activity,-3|-1|0|1|2|3|4|5,Prefer not to answer|Do not know|None|1-5 times a day|6-10 times a day|11-15 times a day|16-20 times a day|More than 20 times a day,8
,971,Frequency of walking for pleasure in last 4 weeks,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100054,Physical activity,-3|-1|1|2|3|4|5|6,Prefer not to answer|Do not know|Once in the last 4 weeks|2-3 times in the last 4 weeks|Once a week|2-3 times a week|4-5 times a week|Every day,8
,981,Duration walking for pleasure,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100054,Physical activity,-3|-1|1|2|3|4|5|6|7,Prefer not to answer|Do not know|Less than 15 minutes|Between 15 and 30 minutes|Between 30 minutes and 1 hour|Between 1 and 1.5 hours|Between 1.5 and 2 hours|Between 2 and 3 hours|Over 3 hours,9
,991,Frequency of strenuous sports in last 4 weeks,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100054,Physical activity,-3|-1|1|2|3|4|5|6,Prefer not to answer|Do not know|Once in the last 4 weeks|2-3 times in the last 4 weeks|Once a week|2-3 times a week|4-5 times a week|Every day,8
,1001,Duration of strenuous sports,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100054,Physical activity,-3|-1|1|2|3|4|5|6|7,Prefer not to answer|Do not know|Less than 15 minutes|Between 15 and 30 minutes|Between 30 minutes and 1 hour|Between 1 and 1.5 hours|Between 1.5 and 2 hours|Between 2 and 3 hours|Over 3 hours,9
,1011,Frequency of light DIY in last 4 weeks,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100054,Physical activity,-3|-1|1|2|3|4|5|6,Prefer not to answer|Do not know|Once in the last 4 weeks|2-3 times in the last 4 weeks|Once a week|2-3 times a week|4-5 times a week|Every day,8
,1021,Duration of light DIY,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100054,Physical activity,-3|-1|1|2|3|4|5|6|7,Prefer not to answer|Do not know|Less than 15 minutes|Between 15 and 30 minutes|Between 30 minutes and 1 hour|Between 1 and 1.5 hours|Between 1.5 and 2 hours|Between 2 and 3 hours|Over 3 hours,9
,1031,Frequency of friend/family visits,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100061,Social support,-3|-1|1|2|3|4|5|6|7,Prefer not to answer|Do not know|Almost daily|2-4 times a week|About once a week|About once a month|Once every few months|Never or almost never|No friends/family outside household,9
,1050,Time spend outdoors in summer,Integer,"whole numbers, for example the age of a participant on a particular date",100055,Sun exposure,-10|-3|-1,Less than an hour a day|Prefer not to answer|Do not know,3
,1060,Time spent outdoors in winter,Integer,"whole numbers, for example the age of a participant on a particular date",100055,Sun exposure,-10|-3|-1,Less than an hour a day|Prefer not to answer|Do not know,3
,1070,Time spent watching television (TV),Integer,"whole numbers, for example the age of a participant on a particular date",100054,Physical activity,-10|-3|-1,Less than an hour a day|Prefer not to answer|Do not know,3
,1080,Time spent using computer,Integer,"whole numbers, for example the age of a participant on a particular date",100054,Physical activity,-10|-3|-1,Less than an hour a day|Prefer not to answer|Do not know,3
,1090,Time spent driving,Integer,"whole numbers, for example the age of a participant on a particular date",100054,Physical activity,-10|-3|-1,Less than an hour a day|Prefer not to answer|Do not know,3
,1100,Drive faster than motorway speed limit,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100054,Physical activity,-3|-1|1|2|3|4|5,Prefer not to answer|Do not know|Never/rarely|Sometimes|Often|Most of the time|Do not drive on the motorway,7
,1110,Length of mobile phone use,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100053,Electronic device use,-3|-1|0|1|2|3|4,Prefer not to answer|Do not know|Never used mobile phone at least once per week|One year or less|Two to four years|Five to eight years|More than eight years,7
,1120,Weekly usage of mobile phone in last 3 months,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100053,Electronic device use,-3|-1|0|1|2|3|4|5,Prefer not to answer|Do not know|Less than 5mins|5-29 mins|30-59 mins|1-3 hours|4-6 hours|More than 6 hours,8
,1130,Hands-free device/speakerphone use with mobile phone in last 3 month,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100053,Electronic device use,-3|-1|0|1|2|3|4,Prefer not to answer|Do not know|Never or almost never|Less than half the time|About half the time|More than half the time|Always or almost always,7
,1140,Difference in mobile phone use compared to two years previously,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100053,Electronic device use,-3|-1|0|1|2|3,"Prefer not to answer|Do not know|No|Yes, use is now less frequent|Yes, use is now more frequent|I didn't use a mobile phone two years ago",6
,1150,Usual side of head for mobile phone use,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100053,Electronic device use,-3|-1|1|2|3,Prefer not to answer|Do not know|Left|Right|Equally left and right,5
,1160,Sleep duration,Integer,"whole numbers, for example the age of a participant on a particular date",100057,Sleep,-3|-1,Prefer not to answer|Do not know,2
,1170,Getting up in morning,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100057,Sleep,-3|-1|1|2|3|4,Prefer not to answer|Do not know|Not at all easy|Not very easy|Fairly easy|Very easy,6
,1180,Morning/evening person (chronotype),Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100057,Sleep,-3|-1|1|2|3|4,Prefer not to answer|Do not know|Definitely a 'morning' person|More a 'morning' than 'evening' person|More an 'evening' than a 'morning' person|Definitely an 'evening' person,6
,1190,Nap during day,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100057,Sleep,-3|1|2|3,Prefer not to answer|Never/rarely|Sometimes|Usually,4
,1200,Sleeplessness / insomnia,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100057,Sleep,-3|1|2|3,Prefer not to answer|Never/rarely|Sometimes|Usually,4
,1210,Snoring,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100057,Sleep,-3|-1|1|2,Prefer not to answer|Do not know|Yes|No,4
,1220,Daytime dozing / sleeping (narcolepsy),Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100057,Sleep,-3|-1|0|1|2|3,Prefer not to answer|Do not know|Never/rarely|Sometimes|Often|All of the time,6
,1239,Current tobacco smoking,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100058,Smoking,-3|0|1|2,"Prefer not to answer|No|Yes, on most or all days|Only occasionally",4
,1249,Past tobacco smoking,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100058,Smoking,-3|1|2|3|4,Prefer not to answer|Smoked on most or all days|Smoked occasionally|Just tried once or twice|I have never smoked,5
,1259,Smoking/smokers in household,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100058,Smoking,-3|0|1|2,"Prefer not to answer|No|Yes, one household member smokes|Yes, more than one household member smokes",4
,1269,Exposure to tobacco smoke at home,Integer,"whole numbers, for example the age of a participant on a particular date",100058,Smoking,-3|-1,Prefer not to answer|Do not know,2
,1279,Exposure to tobacco smoke outside home,Integer,"whole numbers, for example the age of a participant on a particular date",100058,Smoking,-3|-1,Prefer not to answer|Do not know,2
,1289,Cooked vegetable intake,Integer,"whole numbers, for example the age of a participant on a particular date",100052,Diet,-10|-3|-1,Less than one|Prefer not to answer|Do not know,3
,1299,Salad / raw vegetable intake,Integer,"whole numbers, for example the age of a participant on a particular date",100052,Diet,-10|-3|-1,Less than one|Prefer not to answer|Do not know,3
,1309,Fresh fruit intake,Integer,"whole numbers, for example the age of a participant on a particular date",100052,Diet,-10|-3|-1,Less than one|Prefer not to answer|Do not know,3
,1319,Dried fruit intake,Integer,"whole numbers, for example the age of a participant on a particular date",100052,Diet,-10|-3|-1,Less than one|Prefer not to answer|Do not know,3
,1329,Oily fish intake,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100052,Diet,-3|-1|0|1|2|3|4|5,Prefer not to answer|Do not know|Never|Less than once a week|Once a week|2-4 times a week|5-6 times a week|Once or more daily,8
,1339,Non-oily fish intake,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100052,Diet,-3|-1|0|1|2|3|4|5,Prefer not to answer|Do not know|Never|Less than once a week|Once a week|2-4 times a week|5-6 times a week|Once or more daily,8
,1349,Processed meat intake,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100052,Diet,-3|-1|0|1|2|3|4|5,Prefer not to answer|Do not know|Never|Less than once a week|Once a week|2-4 times a week|5-6 times a week|Once or more daily,8
,1359,Poultry intake,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100052,Diet,-3|-1|0|1|2|3|4|5,Prefer not to answer|Do not know|Never|Less than once a week|Once a week|2-4 times a week|5-6 times a week|Once or more daily,8
,1369,Beef intake,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100052,Diet,-3|-1|0|1|2|3|4|5,Prefer not to answer|Do not know|Never|Less than once a week|Once a week|2-4 times a week|5-6 times a week|Once or more daily,8
,1379,Lamb/mutton intake,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100052,Diet,-3|-1|0|1|2|3|4|5,Prefer not to answer|Do not know|Never|Less than once a week|Once a week|2-4 times a week|5-6 times a week|Once or more daily,8
,1389,Pork intake,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100052,Diet,-3|-1|0|1|2|3|4|5,Prefer not to answer|Do not know|Never|Less than once a week|Once a week|2-4 times a week|5-6 times a week|Once or more daily,8
,1408,Cheese intake,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100052,Diet,-3|-1|0|1|2|3|4|5,Prefer not to answer|Do not know|Never|Less than once a week|Once a week|2-4 times a week|5-6 times a week|Once or more daily,8
,1418,Milk type used,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100052,Diet,-3|-1|1|2|3|4|5|6,Prefer not to answer|Do not know|Full cream|Semi-skimmed|Skimmed|Soya|Other type of milk|Never/rarely have milk,8
,1428,Spread type,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100052,Diet,-3|-1|0|1|2|3,Prefer not to answer|Do not know|Never/rarely use spread|Butter/spreadable butter|Flora Pro-Active/Benecol|Other type of spread/margarine,6
,1438,Bread intake,Integer,"whole numbers, for example the age of a participant on a particular date",100052,Diet,-10|-3|-1,Less than one|Prefer not to answer|Do not know,3
,1448,Bread type,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100052,Diet,-3|-1|1|2|3|4,Prefer not to answer|Do not know|White|Brown|Wholemeal or wholegrain|Other type of bread,6
,1458,Cereal intake,Integer,"whole numbers, for example the age of a participant on a particular date",100052,Diet,-10|-3|-1,Less than one|Prefer not to answer|Do not know,3
,1468,Cereal type,Categorical (single),"a single answer selected from a coded list or tree of mutually exclusive options, for example a yes/no choice",100052,Diet,-3|-1|1|2|3|4|5,"Prefer not to answer|Do not know|Bran cereal (e.g. All Bran, Branflakes)|Biscuit cereal (e.g. Weetabix)|Oat cereal (e.g. Ready Brek, porridge)|Muesli|Other (e.g. Cornflakes, Frosties)",7
