"","concept_code","concept_name.x","R1L","R1H","R2H","R3L","R3H","Distinct_Flaged_Dispensations","ev_cnt","pt_cnt","total_outofpocket","sum_cost","DOS_SUM","concept_name.y","Cost_Per_Day","R1L_Dis","R1H_Dis","R2H_Dis","R3L_Dis","R3H_Dis","Dist_DIS","R1L_pop","R1H_pop","R2H_pop","R3L_pop","R3H_pop","Dist_pop"
"23",35603034,"20 ML 6-Aminocaproic Acid 250 MG/ML Injection",NA,NA,NA,NA,NA,NA,19,15,351.26,508.72,144,"20 ML 6-Aminocaproic Acid 250 MG/ML Injection",3.53277777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",35603431,"5 ML Fentanyl 0.05 MG/ML Injection",NA,NA,NA,NA,NA,NA,17,12,54.84,130.5,17,"5 ML Fentanyl 0.05 MG/ML Injection",7.67647058823529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",35603810,"10 ML Aminophylline 25 MG/ML Injection",NA,NA,NA,NA,NA,NA,12,11,20.42,493.89,144,"10 ML Aminophylline 25 MG/ML Injection",3.42979166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",35604325,"10 ML Lidocaine Hydrochloride 10 MG/ML Injection",NA,NA,NA,NA,NA,NA,14,12,111.17,305.79,82,"10 ML Lidocaine Hydrochloride 10 MG/ML Injection",3.72914634146341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",35604472,"Bleomycin 15 UNT Injection",NA,NA,NA,NA,NA,NA,13,11,267.35,1198.56,122,"Bleomycin 15 UNT Injection",9.82426229508197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",35604651,"Methylphenidate Hydrochloride 20 MG Chewable Tablet",NA,NA,NA,NA,NA,NA,27,11,1406.42,11799.25,800,"Methylphenidate Hydrochloride 20 MG Chewable Tablet",14.7490625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",35605465,"Histrelin acetate 0.00208 MG/HR Drug Implant",NA,NA,NA,NA,NA,NA,22,22,7623.02,78993.34,3700,"Histrelin acetate 0.00208 MG/HR Drug Implant",21.3495513513514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",40162195,"{14 (lamotrigine 100 MG Disintegrating Oral Tablet) / 42 (lamotrigine 50 MG Disintegrating Oral Tablet) } Pack",NA,NA,NA,NA,NA,NA,17,15,637.52,13329.68,507,"{14 (lamotrigine 100 MG Disintegrating Oral Tablet) / 42 (lamotrigine 50 MG Disintegrating Oral Tablet) } Pack",26.2912820512821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",40162264,"{21 (lamotrigine 25 MG Disintegrating Oral Tablet) / 7 (lamotrigine 50 MG Disintegrating Oral Tablet) } Pack",NA,NA,NA,NA,NA,NA,25,24,132.68,6382.68,718,"{21 (lamotrigine 25 MG Disintegrating Oral Tablet) / 7 (lamotrigine 50 MG Disintegrating Oral Tablet) } Pack",8.88952646239554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",40171333,"{14 (24 HR Nicotine 0.292 MG/HR Transdermal System) / 14 (24 HR Nicotine 0.583 MG/HR Transdermal System) / 28 (24 HR Nicotine 0.875 MG/HR Transdermal System) } Pack",NA,NA,NA,NA,NA,NA,15,13,0,1229.32,663,"{14 (24 HR Nicotine 0.292 MG/HR Transdermal System) / 14 (24 HR Nicotine 0.583 MG/HR Transdermal System) / 28 (24 HR Nicotine 0.875 MG/HR Transdermal System) } Pack",1.85417797888386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",40221118,"{1 (3 ML Lixisenatide 0.05 MG/ML Pen Injector) / 1 (3 ML Lixisenatide 0.1 MG/ML Pen Injector) } Pack",NA,NA,NA,NA,NA,NA,11,11,47.89,5838.44,302,"{1 (3 ML Lixisenatide 0.05 MG/ML Pen Injector) / 1 (3 ML Lixisenatide 0.1 MG/ML Pen Injector) } Pack",19.332582781457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",40221403,"{1 (Miconazole Nitrate 1200 MG Vaginal Insert) / 1 (9000 MG) (Miconazole Nitrate 20 MG/ML Vaginal Cream) } Pack",NA,NA,NA,NA,NA,NA,19,14,0,441.66,78,"{1 (Miconazole Nitrate 1200 MG Vaginal Insert) / 1 (9000 MG) (Miconazole Nitrate 20 MG/ML Vaginal Cream) } Pack",5.66230769230769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",40222019,"Aspirin 845 MG / Caffeine 65 MG Oral Powder",NA,NA,NA,NA,NA,NA,95,19,0,1969.82,2192,"Aspirin 845 MG / Caffeine 65 MG Oral Powder",0.898640510948905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",40223970,"Miconazole Nitrate 40 MG/ML Vaginal Cream",NA,NA,NA,NA,NA,NA,15,14,0,201.79,80,"Miconazole Nitrate 40 MG/ML Vaginal Cream",2.522375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",40224638,"Sulfacetamide Sodium 100 MG/ML Medicated Liquid Soap",NA,NA,NA,NA,NA,NA,18,15,111.37,1654.63,586,"Sulfacetamide Sodium 100 MG/ML Medicated Liquid Soap",2.82360068259386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",40232180,"Petrolatum 610 MG/ML Topical Cream",NA,NA,NA,NA,NA,NA,19,12,0,156.28,234,"Petrolatum 610 MG/ML Topical Cream",0.667863247863248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",40235220,"Dextromethorphan Hydrobromide 3 MG/ML Oral Solution",NA,NA,NA,NA,NA,NA,16,12,0,107.05,94,"Dextromethorphan Hydrobromide 3 MG/ML Oral Solution",1.13882978723404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",40237576,"Acetaminophen 500 MG / Chlorpheniramine Maleate 2 MG / Dextromethorphan Hydrobromide 15 MG Oral Tablet",NA,NA,NA,NA,NA,NA,17,11,0,182.65,107,"Acetaminophen 500 MG / Chlorpheniramine Maleate 2 MG / Dextromethorphan Hydrobromide 15 MG Oral Tablet",1.70700934579439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",40243436,"1 ML Atropine Sulfate 1 MG/ML Injection",NA,NA,NA,NA,NA,NA,48,27,92.4,5496.19,911,"1 ML Atropine Sulfate 1 MG/ML Injection",6.03313940724479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",42629320,"2 ML Papaverine Hydrochloride 30 MG/ML Injection",NA,NA,NA,NA,NA,NA,12,11,949.5,1366.24,232,"2 ML Papaverine Hydrochloride 30 MG/ML Injection",5.88896551724138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",42629328,"abobotulinumtoxinA 300 UNT Injection",NA,NA,NA,NA,NA,NA,99,54,9587.26,73290.34,6386,"abobotulinumtoxinA 300 UNT Injection",11.4767209520827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",42629595,"5 ML Diltiazem Hydrochloride 5 MG/ML Injection",NA,NA,NA,NA,NA,NA,14,12,35.42,99.98,44,"5 ML Diltiazem Hydrochloride 5 MG/ML Injection",2.27227272727273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",42708198,"0.5 ML diphtheria toxoid vaccine, inactivated 50 UNT/ML / tetanus toxoid vaccine, inactivated 10 UNT/ML Injection",NA,NA,NA,NA,NA,NA,168,167,4453.85,10215.08,3956,"0.5 ML diphtheria toxoid vaccine, inactivated 50 UNT/ML / tetanus toxoid vaccine, inactivated 10 UNT/ML Injection",2.58217391304348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",42799760,"Histrelin acetate 50 MG Drug Implant",NA,NA,NA,NA,NA,NA,22,22,7623.02,78993.34,3700,"Histrelin acetate 50 MG Drug Implant",21.3495513513514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",42799831,"0.5 ML Measles Virus Vaccine Live, Enders' attenuated Edmonston strain 2000 UNT/ML / Mumps Virus Vaccine Live, Jeryl Lynn Strain 40000 UNT/ML / Rubella Virus Vaccine Live (Wistar RA 27-3 Strain) 2000 UNT/ML / Varicella-Zoster Virus Vaccine Live (Oka-Merck",NA,NA,NA,NA,NA,NA,12,12,384.85,2311.68,50,"0.5 ML Measles Virus Vaccine Live, Enders' attenuated Edmonston strain 2000 UNT/ML / Mumps Virus Vaccine Live, Jeryl Lynn Strain 40000 UNT/ML / Rubella Virus Vaccine Live (Wistar RA 27-3 Strain) 2000 UNT/ML / Varicella-Zoster Virus Vaccine Live (Oka-Merck",46.2336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",43013244,"20 ML Baclofen 1 MG/ML Prefilled Syringe",NA,NA,NA,NA,NA,NA,15,11,0,13640.4,450,"20 ML Baclofen 1 MG/ML Prefilled Syringe",30.312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",45892313,"Amylases 84000 UNT / Endopeptidases 63000 UNT / Lipase 20000 UNT Delayed Release Oral Capsule",NA,NA,NA,NA,NA,NA,19,18,1285.96,23197.15,693,"Amylases 84000 UNT / Endopeptidases 63000 UNT / Lipase 20000 UNT Delayed Release Oral Capsule",33.4735209235209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",46221622,"Levonorgestrel 0.000813 MG/HR Intrauterine System",NA,NA,NA,NA,NA,NA,11,11,730.27,7663.43,226,"Levonorgestrel 0.000813 MG/HR Intrauterine System",33.908982300885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",46234168,"0.5 ML ustekinumab 90 MG/ML Injection",NA,NA,NA,NA,NA,NA,19,12,2630.53,253346.3,980,"0.5 ML ustekinumab 90 MG/ML Injection",258.516632653061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",46275400,"250 ML heparin sodium, porcine 100 UNT/ML Injection",NA,NA,NA,NA,NA,NA,16,12,46.9,266.47,46,"250 ML heparin sodium, porcine 100 UNT/ML Injection",5.79282608695652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",46276333,"3 ML Amiodarone hydrochloride 50 MG/ML Injection",NA,NA,NA,NA,NA,NA,12,12,5.93,87.32,12,"3 ML Amiodarone hydrochloride 50 MG/ML Injection",7.27666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",46287545,"1 ML Phenylephrine Hydrochloride 10 MG/ML Injection",NA,NA,NA,NA,NA,NA,11,11,17.39,2483.19,101,"1 ML Phenylephrine Hydrochloride 10 MG/ML Injection",24.5860396039604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",529080,"0.5 ML L1 protein, Human papillomavirus type 11 Vaccine 0.08 MG/ML / L1 protein, Human papillomavirus type 16 Vaccine 0.08 MG/ML / L1 protein, Human papillomavirus type 18 Vaccine 0.04 MG/ML / L1 protein, Human papillomavirus type 6 Vaccine 0.04 MG/ML Pre",NA,NA,NA,NA,NA,NA,14,13,246.88,2707.06,72,"0.5 ML L1 protein, Human papillomavirus type 11 Vaccine 0.08 MG/ML / L1 protein, Human papillomavirus type 16 Vaccine 0.08 MG/ML / L1 protein, Human papillomavirus type 18 Vaccine 0.04 MG/ML / L1 protein, Human papillomavirus type 6 Vaccine 0.04 MG/ML Pre",37.5980555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",792493,"30 ACTUAT fluticasone furoate 0.1 MG/ACTUAT / umeclidinium 0.0625 MG/ACTUAT / vilanterol 0.025 MG/ACTUAT Dry Powder Inhaler",NA,NA,NA,NA,NA,NA,284,268,13103.81,201631.14,12330,"30 ACTUAT fluticasone furoate 0.1 MG/ACTUAT / umeclidinium 0.0625 MG/ACTUAT / vilanterol 0.025 MG/ACTUAT Dry Powder Inhaler",16.3528905109489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",792769,"acalabrutinib 100 MG Oral Capsule",NA,NA,NA,NA,NA,NA,50,39,38009.17,720182.28,1500,"acalabrutinib 100 MG Oral Capsule",480.12152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",793028,"dolutegravir 50 MG / Rilpivirine 25 MG Oral Tablet",NA,NA,NA,NA,NA,NA,33,33,804.99,99891.61,1164,"dolutegravir 50 MG / Rilpivirine 25 MG Oral Tablet",85.8175343642612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",901786,"Menthol 0.1 MG/MG Topical Gel",NA,NA,NA,NA,NA,NA,15,12,0,121.31,223,"Menthol 0.1 MG/MG Topical Gel",0.543991031390134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",912804,"Verteporfin 15 MG Injection",NA,NA,NA,NA,NA,NA,15,13,4581.64,26076.54,778,"Verteporfin 15 MG Injection",33.5174035989717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",947676,"podophyllin 250 MG/ML Topical Solution",NA,NA,NA,NA,NA,NA,16,14,152.72,1697.89,303,"podophyllin 250 MG/ML Topical Solution",5.60359735973597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",952541,"Anthralin 10 MG/ML Topical Cream",NA,NA,NA,NA,NA,NA,18,12,682.27,2634.59,300,"Anthralin 10 MG/ML Topical Cream",8.78196666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",961496,"Glycerin 0.18 MG/MG Oral Gel",NA,NA,NA,NA,NA,NA,17,13,0,88.13,379,"Glycerin 0.18 MG/MG Oral Gel",0.232532981530343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",40238370,"Menthol 1 MG/ML Topical Lotion",1,1,1,1,1,5,20,13,0,160.93,648,"Menthol 1 MG/ML Topical Lotion",0.248348765432099,20,20,20,20,20,4,13,13,13,13,13,2.6
"65",40175813,"everolimus 0.25 MG Oral Tablet",33,34,30,36,36,149,720,163,59210.27,942082.3,29042,"everolimus 0.25 MG Oral Tablet",32.4386164864679,21.8181818181818,21.1764705882353,24,20,20,4.83221476510067,4.93939393939394,4.79411764705882,5.43333333333333,4.52777777777778,4.52777777777778,1.09395973154362
"66",19130290,"Omeprazole 2.5 MG Granules for Oral Suspension",2,2,2,2,2,9,44,20,447.06,17978.99,1236,"Omeprazole 2.5 MG Granules for Oral Suspension",14.5461084142395,22,22,22,22,22,4.88888888888889,10,10,10,10,10,2.22222222222222
"67",40232586,"Hyoscyamine Sulfate 0.025 MG/ML Oral Solution",23,22,23,24,22,100,490,210,1950.48,16000,9841,"Hyoscyamine Sulfate 0.025 MG/ML Oral Solution",1.62585103139925,21.304347826087,22.2727272727273,21.304347826087,20.4166666666667,22.2727272727273,4.9,9.1304347826087,9.54545454545454,9.1304347826087,8.75,9.54545454545454,2.1
"68",42628996,"50 ML Milrinone Lactate 1 MG/ML Injection",61,71,71,59,74,307,1522,121,65080.42,459392.74,10599,"50 ML Milrinone Lactate 1 MG/ML Injection",43.3430267006321,24.9508196721311,21.4366197183099,21.4366197183099,25.7966101694915,20.5675675675676,4.95765472312704,1.98360655737705,1.70422535211268,1.70422535211268,2.05084745762712,1.63513513513514,0.39413680781759
"69",46275077,"10 ML rituximab 10 MG/ML Injection",90,93,83,58,102,411,2052,625,464383.39,15545249.39,56278,"10 ML rituximab 10 MG/ML Injection",276.222491737446,22.8,22.0645161290323,24.7228915662651,35.3793103448276,20.1176470588235,4.99270072992701,6.94444444444444,6.72043010752688,7.53012048192771,10.7758620689655,6.12745098039216,1.52068126520681
"70",40224881,"Doxepin Hydrochloride 10 MG/ML Oral Solution",470,523,543,687,691,2758,13837,5431,64897.52,129109.95,664163,"Doxepin Hydrochloride 10 MG/ML Oral Solution",0.194394975329851,29.4404255319149,26.4569789674952,25.4825046040516,20.1411935953421,20.0246020260492,5.01704133430022,11.5553191489362,10.3843212237094,10.0018416206262,7.90538573508006,7.85962373371925,1.96918056562727
"71",1300007,"Thioguanine 40 MG Oral Tablet",13,6,13,13,13,54,273,78,23788.65,222811.47,8789,"Thioguanine 40 MG Oral Tablet",25.3511741950165,21,45.5,21,21,21,5.05555555555556,6,13,6,6,6,1.44444444444444
"72",40222653,"Hydroxyzine Hydrochloride 2 MG/ML Oral Solution",436,476,388,365,476,1902,9660,3626,51161.21,300215.23,199923,"Hydroxyzine Hydrochloride 2 MG/ML Oral Solution",1.50165428690046,22.1559633027523,20.2941176470588,24.8969072164948,26.4657534246575,20.2941176470588,5.0788643533123,8.31651376146789,7.61764705882353,9.34536082474227,9.93424657534247,7.61764705882353,1.90641430073607
"73",40185385,"Mechlorethamine hydrochloride 10 MG Injection",2,2,1,2,2,9,46,30,7274.7,68693.43,1578,"Mechlorethamine hydrochloride 10 MG Injection",43.5319581749049,23,23,46,23,23,5.11111111111111,15,15,30,15,15,3.33333333333333
"74",19114106,"Citric Acid 66.8 MG/ML / sodium citrate 100 MG/ML Oral Solution",120,94,109,115,121,476,2433,776,13962.21,75419.22,54896,"Citric Acid 66.8 MG/ML / sodium citrate 100 MG/ML Oral Solution",1.37385638297872,20.275,25.8829787234043,22.3211009174312,21.1565217391304,20.1074380165289,5.11134453781513,6.46666666666667,8.25531914893617,7.11926605504587,6.74782608695652,6.41322314049587,1.63025210084034
"75",40166330,"Methadone Hydrochloride 2 MG/ML Oral Solution",104,101,44,102,97,414,2143,475,15096.06,108718.7,52404,"Methadone Hydrochloride 2 MG/ML Oral Solution",2.07462598274941,20.6057692307692,21.2178217821782,48.7045454545455,21.0098039215686,22.0927835051546,5.17632850241546,4.56730769230769,4.7029702970297,10.7954545454545,4.65686274509804,4.89690721649485,1.14734299516908
"76",19125519,"Estrogens, Conjugated (USP) 0.625 MG/ML Vaginal Cream",21444,24226,21055,24383,70,88152,494219,264434,29208457.48,180258315.22,26199084,"Estrogens, Conjugated (USP) 0.625 MG/ML Vaginal Cream",6.88032891607966,23.0469595224771,20.4003549905061,23.4727618142959,20.2689988926711,7060.27142857143,5.60644114710954,12.331374743518,10.9152976141336,12.5592020897649,10.8450149694459,3777.62857142857,2.9997504310736
"77",766530,"Haloperidol 2 MG/ML Oral Solution",1509,1444,1353,1402,674,5884,30557,14072,82643.67,547112.91,613237,"Haloperidol 2 MG/ML Oral Solution",0.892172047674879,20.2498343273691,21.1613573407202,22.5846267553585,21.7952924393723,45.3367952522255,5.19323589394969,9.32538104705103,9.74515235457064,10.4005912786401,10.037089871612,20.8783382789317,2.39157036029912
"78",19023521,"Soybean Oil 200 MG/ML Injectable Suspension",8,33,38,40,40,157,816,153,11637.09,118355.14,5079,"Soybean Oil 200 MG/ML Injectable Suspension",23.3028430793463,102,24.7272727272727,21.4736842105263,20.4,20.4,5.19745222929936,19.125,4.63636363636364,4.02631578947368,3.825,3.825,0.974522292993631
"79",40232188,"Phenylephrine Hydrochloride 10 MG Oral Tablet",2,2,2,2,2,10,52,36,0,295.55,417,"Phenylephrine Hydrochloride 10 MG Oral Tablet",0.708752997601918,26,26,26,26,26,5.2,18,18,18,18,18,3.6
"80",19027661,"Potassium Chloride 2 MEQ/ML Injectable Solution",34,NA,36,36,36,142,739,134,3279.41,14855.86,5113,"Potassium Chloride 2 MEQ/ML Injectable Solution",2.90550752982593,21.7352941176471,NA,20.5277777777778,20.5277777777778,20.5277777777778,5.20422535211268,3.94117647058824,NA,3.72222222222222,3.72222222222222,3.72222222222222,0.943661971830986
