concept_name|R1H_Days_of_Supply_95%|R1L_days of supply too lowDays_of_Supply_05%|R2H_Refils_95%|R3H_Quanitiy_of_Service_95%|R3L_Quanitiy_of_Service_05%|clinical drug concept_id|concept_code|R1H_Jitter|R1L_Jiter|R2H_Jitter|R3H_Jitter|R3L_Jitter
Acetaminophen 325 MG / butalbital 50 MG / Caffeine 40 MG Oral Tablet|30|4|4|168|15|1134771|238154|35|-1|9|184.8|13.5
Acetaminophen 21.7 MG/ML / butalbital 3.33 MG/ML / Caffeine 2.67 MG/ML Oral Solution|30|5|3|1892|473|1135359|756245|35|0|8|2081.2|425.7
Acetaminophen 260 MG / Aspirin 520 MG / Caffeine 32.5 MG Oral Powder|50|50|0|50|50|1135360|763116|55|45|5|55|45
caffeine citrate 20 MG/ML Oral Solution|10|7|0|30|30|1135467|849928|15|2|5|33|27
3 ML caffeine citrate 20 MG/ML Injection|15|15|0|12|12|1135469|849931|20|10|5|13.2|10.8
benzonatate 100 MG Oral Capsule|30|5|1|84|14|1136682|197397|35|0|6|92.4|12.6
benzonatate 200 MG Oral Capsule|28|5|0|60|15|1136687|283417|33|0|5|66|13.5
Phenylephrine 0.0025 MG/MG Rectal Suppository|28|6|12|28|10|1136754|312398|33|1|17|30.8|9
Salsalate 500 MG Oral Tablet|90|10|7|360|30|1137524|312899|95|5|12|396|27
30 ML Acetylcysteine 200 MG/ML Injection|30|2|6|300|15|1139059|465377|35|-3|11|330|13.5
Sumatriptan 5 MG/ACTUAT Nasal Spray|32|3|4|18|6|1140648|313159|37|-2|9|19.8|5.4
Sumatriptan 50 MG Oral Tablet|90|4|5|27|7|1140650|313161|95|-1|10|29.7|6.3
0.5 ML Sumatriptan 12 MG/ML Injection|38|2|7|10|1|1140651|313165|43|-3|12|11|0.9
Sumatriptan 20 MG/ACTUAT Nasal Spray|60|3|5|18|6|1140672|314227|65|-2|10|19.8|5.4
Sumatriptan 25 MG Oral Tablet|60|3|5|27|6|1140673|315223|65|-2|10|29.7|5.4
0.5 ML Sumatriptan 12 MG/ML Prefilled Syringe|30|2|4|9|1|1140706|727339|35|-3|9|9.9|0.9
0.5 ML Sumatriptan 8 MG/ML Prefilled Syringe|69|1|10|10|1|1140708|758521|74|-4|15|11|0.9
meloxicam 15 MG Oral Tablet|90|30|5|90|30|1150347|152695|95|25|10|99|27
meloxicam 7.5 MG Oral Tablet|90|15|5|180|20|1150351|311486|95|10|10|198|18
Misoprostol 0.1 MG Oral Tablet|90|1|8|240|3|1150924|311727|95|-4|13|264|2.7
Misoprostol 0.2 MG Oral Tablet|90|1|6|180|1|1150926|317128|95|-4|11|198|0.9
Probenecid 500 MG Oral Tablet|90|28|6|180|30|1151423|198152|95|23|11|198|27
Colchicine 0.5 MG / Probenecid 500 MG Oral Tablet|90|10|6|180|15|1151424|198153|95|5|11|198|13.5
0.98 ML Etanercept 50 MG/ML Prefilled Syringe|84|28|8|11.76|3.92|1151885|727757|89|23|13|12.936|3.528
Cromolyn Sodium 10 MG/ML Inhalation Solution|30|7|8|240|30|1152738|831246|35|2|13|264|27
Cromolyn Sodium 20 MG/ML Oral Solution|90|12|6|3360|360|1152772|831261|95|7|11|3696|324
72 HR Fentanyl 0.075 MG/HR Transdermal System|30|15|0|15|5|1154030|197696|35|10|5|16.5|4.5
72 HR Fentanyl 0.025 MG/HR Transdermal System|30|15|0|15|5|1154062|245134|35|10|5|16.5|4.5
72 HR Fentanyl 0.05 MG/HR Transdermal System|30|15|0|15|5|1154063|245135|35|10|5|16.5|4.5
72 HR Fentanyl 0.1 MG/HR Transdermal System|30|15|0|20|5|1154064|245136|35|10|5|22|4.5
rizatriptan 10 MG Disintegrating Oral Tablet|60|4|5|30|6|1154080|312837|65|-1|10|33|5.4
rizatriptan 5 MG Disintegrating Oral Tablet|60|3|4|27|6|1154081|312839|65|-2|9|29.7|5.4
Fentanyl 0.6 MG Oral Lozenge|30|10|0|180|30|1154146|313992|35|5|5|198|27
Fentanyl 0.8 MG Oral Lozenge|30|10|0|180|30|1154147|313993|35|5|5|198|27
montelukast 5 MG Chewable Tablet|90|15|7|90|28|1154195|242438|95|10|12|99|25.2
montelukast 4 MG Chewable Tablet|90|28|6|90|28|1154197|311759|95|23|11|99|25.2
montelukast 4 MG Oral Granules|90|14|7|90|14|1154201|351246|95|9|12|99|12.6
Fentanyl 0.1 MG Buccal Tablet|30|7|0|180|28|1154278|668363|35|2|5|198|25.2
Fentanyl 0.2 MG Buccal Tablet|30|7|0|168|28|1154279|668364|35|2|5|184.8|25.2
Fentanyl 0.4 MG Buccal Tablet|30|7|0|224|28|1154280|668365|35|2|5|246.4|25.2
Fentanyl 0.6 MG Buccal Tablet|30|10|0|224|88|1154281|668366|35|5|5|246.4|79.2
Fentanyl 0.8 MG Buccal Tablet|30|7|0|252|84|1154312|668367|35|2|5|277.2|75.6
2 ML Fentanyl 0.05 MG/ML Cartridge|1|1|0|2|1|1154321|727759|6|-4|5|2.2|0.9
Albuterol 2 MG Oral Tablet|90|7|7|180|21|1154349|197316|95|2|12|198|18.9
Albuterol 4 MG Oral Tablet|90|10|6|180|21|1154350|197318|95|5|11|198|18.9
Albuterol 5 MG/ML Inhalation Solution|30|3|10|80|15|1154380|245314|35|-2|15|88|13.5
Albuterol 0.417 MG/ML Inhalation Solution|25|3|10|225|75|1154535|351136|30|-2|15|247.5|67.5
Albuterol 0.21 MG/ML Inhalation Solution|25|3|9|180|75|1154536|351137|30|-2|14|198|67.5
12 HR Albuterol 4 MG Extended Release Oral Tablet|90|13|7|180|27|1154576|359144|95|8|12|198|24.3
12 HR Albuterol 8 MG Extended Release Oral Tablet|90|15|6|180|30|1154577|359145|95|10|11|198|27
Albuterol 0.4 MG/ML Oral Solution|30|3|3|480|60|1154654|755497|35|-2|8|528|54
Flurbiprofen 100 MG Oral Tablet|90|5|4|180|14|1156380|197724|95|0|9|198|12.6
Flurbiprofen 50 MG Oral Tablet|90|6|4|180|22|1156381|197725|95|1|9|198|19.8
Guaifenesin 200 MG Oral Tablet|50|5|8|200|20|1163945|197741|55|0|13|220|18
12 HR Guaifenesin 600 MG Extended Release Oral Tablet|30|7|13|112|14|1165632|636522|35|2|18|123.2|12.6
Allopurinol 100 MG Oral Tablet|90|15|7|180|21|1167323|197319|95|10|12|198|18.9
Indomethacin 25 MG Oral Capsule|90|5|3|180|14|1178665|197817|95|0|8|198|12.6
Indomethacin 50 MG Oral Capsule|90|5|3|120|14|1178666|197818|95|0|8|132|12.6
Indomethacin 50 MG Rectal Suppository|30|1|3|90|2|1178667|197819|35|-4|8|99|1.8
Meclofenamate 100 MG Oral Capsule|90|10|5|270|30|1180186|618552|95|5|10|297|27
Meclofenamate 50 MG Oral Capsule|90|5|4|360|20|1180188|618557|95|0|9|396|18
Ketoprofen 50 MG Oral Capsule|90|4|3|270|15|1185927|197855|95|-1|8|297|13.5
Ketoprofen 75 MG Oral Capsule|90|5|4|240|15|1185928|197856|95|0|9|264|13.5
24 HR Ketoprofen 200 MG Extended Release Oral Capsule|90|20|5|240|30|1186053|359697|95|15|10|264|27
frovatriptan 2.5 MG Oral Tablet|90|3|6|30|6|1189459|349462|95|-2|11|33|5.4
eletriptan 20 MG Oral Tablet|36|3|5|30|6|1189698|359493|41|-2|10|33|5.4
eletriptan 40 MG Oral Tablet|54|3|6|30|6|1189699|359494|59|-2|11|33|5.4
Levorphanol 2 MG Oral Tablet|30|14|0|240|30|1189767|197873|35|9|5|264|27
Levalbuterol 0.417 MG/ML Inhalation Solution|30|3|18|288|72|1192219|242754|35|-2|23|316.8|64.8
Levalbuterol 0.21 MG/ML Inhalation Solution|30|4|14|360|72|1192221|311286|35|-1|19|396|64.8
200 ACTUAT Levalbuterol 0.045 MG/ACTUAT Metered Dose Inhaler|90|16|5|45|15|1192251|745791|95|11|10|49.5|13.5
Etodolac 200 MG Oral Capsule|90|5|4|180|15|1195496|197684|95|0|9|198|13.5
Etodolac 300 MG Oral Capsule|90|7|5|180|20|1195497|197685|95|2|10|198|18
Etodolac 400 MG Oral Tablet|90|7|4|180|16|1195498|197686|95|2|9|198|14.4
Sulindac 150 MG Oral Tablet|90|12|5|180|20|1236609|198238|95|7|10|198|18
Sulindac 200 MG Oral Tablet|90|10|4|180|20|1236610|198239|95|5|9|198|18
Theophylline 100 MG Extended Release Oral Tablet|90|4|4|120|7|1237116|237178|95|-1|9|132|6.3
Theophylline 200 MG Extended Release Oral Capsule|90|14|8|180|14|1237168|313272|95|9|13|198|12.6
Theophylline 400 MG Extended Release Oral Tablet|90|28|7|90|15|1237184|313291|95|23|12|99|13.5
Theophylline 450 MG Extended Release Oral Tablet|90|29|6|180|30|1237201|314241|95|24|11|198|27
Theophylline 300 MG Extended Release Oral Tablet|90|28|6|180|30|1237231|317769|95|23|11|198|27
Theophylline 200 MG Extended Release Oral Tablet|90|5|5|120|10|1237261|346574|95|0|10|132|9
Theophylline 600 MG Extended Release Oral Tablet|90|30|7|90|15|1237262|348472|95|25|12|99|13.5
Thioguanine 40 MG Oral Tablet|84|5|5|104|8|1300007|198269|89|0|10|114.4|7.2
Polysaccharide iron complex 200 MG Oral Capsule|30|28|5|30|28|1300787|731372|35|23|10|33|25.2
Ferrous fumarate 162 MG / Polysaccharide iron complex 115 MG Oral Capsule|31|28|6|31|28|1300796|795765|36|23|11|34.1|25.2
Megestrol Acetate 125 MG/ML Oral Suspension|48|15|3|300|90|1301001|577154|53|10|8|330|81
Melatonin 3 MG Oral Tablet|31|7|13|60|7|1301154|199163|36|2|18|66|6.3
Melatonin 1 MG Oral Tablet|30|7|22|60|7|1301156|199425|35|2|27|66|6.3
Melatonin 5 MG Oral Capsule|31|7|12|60|7|1301158|199647|36|2|17|66|6.3
1 ML Epoetin Alfa 2000 UNT/ML Injection|30|4|12|10|1|1301169|239998|35|-1|17|11|0.9
1 ML Epoetin Alfa 4000 UNT/ML Injection|42|6|9|12|1|1301170|239999|47|1|14|13.2|0.9
Epoetin Alfa 20000 UNT/ML Injectable Solution|30|7|8|6|1|1301173|241999|35|2|13|6.6|0.9
Melatonin 5 MG Oral Tablet|31|10|13|60|10|1301197|252732|36|5|18|66|9
Melatonin 10 MG Oral Capsule|31|14|13|56|14|1301199|283433|36|9|18|61.6|12.6
Melatonin 0.25 MG/ML Oral Solution|30|28|13|240|120|1301241|636811|35|23|18|264|108
Melphalan 2 MG Oral Tablet|42|4|4|50|12|1301270|197919|47|-1|9|55|10.8
Melphalan 50 MG Injection|1|1|0|1|1|1301292|311487|6|-4|5|1.1|0.9
5 ML fulvestrant 50 MG/ML Prefilled Syringe|30|28|8|20|10|1304048|727762|35|23|13|22|9
1 ML darbepoetin alfa 0.025 MG/ML Injection|42|7|8|4|1|1304644|349273|47|2|13|4.4|0.9
1 ML darbepoetin alfa 0.04 MG/ML Injection|30|7|11|4|1|1304645|349274|35|2|16|4.4|0.9
1 ML darbepoetin alfa 0.06 MG/ML Injection|30|7|9|4|1|1304646|349275|35|2|14|4.4|0.9
1 ML darbepoetin alfa 0.1 MG/ML Injection|30|7|9|4|1|1304647|349276|35|2|14|4.4|0.9
1 ML darbepoetin alfa 0.3 MG/ML Injection|30|6|8|2|1|1304724|351247|35|1|13|2.2|0.9
0.3 ML darbepoetin alfa 0.2 MG/ML Prefilled Syringe|49|7|8|1.2|0.3|1304767|731167|54|2|13|1.32|0.27
0.3 ML darbepoetin alfa 0.5 MG/ML Prefilled Syringe|56|7|6.5|1.2|0.3|1304768|731171|61|2|11.5|1.32|0.27
0.4 ML darbepoetin alfa 0.5 MG/ML Prefilled Syringe|30|7|7|1.6|0.4|1304769|731174|35|2|12|1.76|0.36
0.42 ML darbepoetin alfa 0.06 MG/ML Prefilled Syringe|30|7|11|1.68|0.42|1304770|731176|35|2|16|1.848|0.378
0.6 ML darbepoetin alfa 0.5 MG/ML Prefilled Syringe|30|7|7|2.4|0.6|1304771|731179|35|2|12|2.64|0.54
0.4 ML darbepoetin alfa 0.1 MG/ML Prefilled Syringe|30|7|9|1.6|0.4|1304792|731181|35|2|14|1.76|0.36
1 ML darbepoetin alfa 0.5 MG/ML Prefilled Syringe|30|7|8|4|1|1304793|731184|35|2|13|4.4|0.9
0.5 ML Filgrastim 0.6 MG/ML Prefilled Syringe|30|2|5|8|1|1304915|727535|35|-3|10|8.8|0.9
0.8 ML Filgrastim 0.6 MG/ML Prefilled Syringe|30|2|5|12.8|0.8|1304917|727544|35|-3|10|14.08|0.72
Methotrexate 5 MG Oral Tablet|90|22|6|48|4|1305085|283511|95|17|11|52.8|3.6
Methotrexate 7.5 MG Oral Tablet|90|7|5|18|3|1305086|283671|95|2|10|19.8|2.7
Methyldopa 250 MG Oral Tablet|90|25|6|270|30|1305450|197956|95|20|11|297|27
Methyldopa 500 MG Oral Tablet|90|25|5|270|30|1305472|197958|95|20|10|297|27
Lisinopril 40 MG Oral Tablet|90|30|6|100|30|1308221|197884|95|25|11|110|27
Lisinopril 2.5 MG Oral Tablet|90|28|7|90|28|1308250|311353|95|23|12|99|25.2
Lisinopril 5 MG Oral Tablet|90|28|6|90|28|1308251|311354|95|23|11|99|25.2
sargramostim 0.25 MG/ML Injectable Solution|30|4|8|42|4|1308436|315199|35|-1|13|46.2|3.6
Vitamin B 12 2.5 MG Sublingual Tablet|58|14|13|67.5|11.5|1308762|198891|63|9|18|74.25|10.35
Vitamin B 12 5 MG Sublingual Tablet|60|22|4.5|45|6|1308763|199184|65|17|9.5|49.5|5.4
Vitamin B 12 0.5 MG Oral Lozenge|30|30|1|60|60|1308764|199365|35|25|6|66|54
Vitamin B 12 1 MG Extended Release Oral Tablet|90|7|10|90|7|1308796|237776|95|2|15|99|6.3
Vitamin B 12 2 MG Extended Release Oral Tablet|60|30|4|60|30|1308797|237777|65|25|9|66|27
Vitamin B 12 1 MG Sublingual Tablet|60|7|11|90|7|1308799|237779|65|2|16|99|6.3
valsartan 80 MG Oral Tablet|90|30|6|90|30|1308851|349199|95|25|11|99|27
valsartan 40 MG Oral Tablet|90|28|6|90|18|1308874|349483|95|23|11|99|16.2
Vitamin B 12 0.5 MG Oral Tablet|31|7|13|62|7|1308972|313896|36|2|18|68.2|6.3
Minoxidil 10 MG Oral Tablet|90|30|7|180|15|1309069|197986|95|25|12|198|13.5
Minoxidil 2.5 MG Oral Tablet|90|21|7|360|30|1309070|197987|95|16|12|396|27
Minoxidil 20 MG/ML Topical Solution|30|28|4|120|60|1309098|311723|35|23|9|132|54
Minoxidil 50 MG/ML Topical Solution|30|14|13|180|60|1309099|311724|35|9|18|198|54
Minoxidil 50 MG/ML Topical Foam|30|28|1|60|60|1309126|645146|35|23|6|66|54
Mitotane 500 MG Oral Tablet|90|10|7|540|30|1309182|197988|95|5|12|594|27
Mitoxantrone 2 MG/ML Injectable Solution|28|1|3|20|10|1309190|197989|33|-4|8|22|9
Folic Acid 1 MG / Vitamin B 12 0.5 MG Oral Tablet|30|30|3|30|30|1309334|476628|35|25|8|33|27
Vitamin B 12 0.5 MG Sublingual Tablet|30|7|17|60|7|1309363|636371|35|2|22|66|6.3
eplerenone 25 MG Oral Tablet|90|30|7|100|15|1309800|351256|95|25|12|110|13.5
eplerenone 50 MG Oral Tablet|90|30|7|180|30|1309801|351257|95|25|12|198|27
Amiodarone hydrochloride 200 MG Oral Tablet|90|14|7|90|15|1309992|833528|95|9|12|99|13.5
Amiodarone hydrochloride 400 MG Oral Tablet|90|6|4|90|10|1310001|834348|95|1|9|99|9
Amiodarone hydrochloride 100 MG Oral Tablet|90|14|7|90|13|1310037|835956|95|9|12|99|11.7
Lutein 6 MG Oral Capsule|30.5|1.5|10.5|30.5|1.5|1310354|283899|35.5|-3.5|15.5|33.55|1.35
Lutein 20 MG Oral Capsule|30|21|13|56|14|1310359|485816|35|16|18|61.6|12.6
20 ML Cytarabine 100 MG/ML Injection|50|2|1|200|2|1311105|249364|55|-3|6|220|1.8
vardenafil 5 MG Oral Tablet|75|30|6|10|2|1311277|349478|80|25|11|11|1.8
vardenafil 10 MG Oral Tablet|40|15|5|6|3|1311278|349479|45|10|10|6.6|2.7
Dactinomycin 0.5 MG Injection|21|21|6|3|3|1311445|239179|26|16|11|3.3|2.7
prasterone 25 MG Oral Capsule|30|30|0|30|30|1312008|242213|35|25|5|33|27
Olmesartan medoxomil 5 MG Oral Tablet|90|28|6|180|28|1312743|349373|95|23|11|198|25.2
Atenolol 100 MG Oral Tablet|90|30|5|100|28|1314006|197379|95|25|10|110|25.2
Atenolol 50 MG Oral Tablet|90|30|5|180|30|1314008|197381|95|25|10|198|27
Atenolol 100 MG / Chlorthalidone 25 MG Oral Tablet|90|30|5|90|30|1314009|197382|95|25|10|99|27
nebivolol 10 MG Oral Tablet|90|21|7|90|28|1314581|751612|95|16|12|99|25.2
nebivolol 2.5 MG Oral Tablet|90|14|8|90|14|1314614|751618|95|9|13|99|12.6
Azacitidine 100 MG Injection|30|5|7|14|4|1314867|485246|35|0|12|15.4|3.6
nilutamide 150 MG Oral Tablet|90|14|9|60|14|1315291|311982|95|9|14|66|12.6
sildenafil 25 MG Oral Tablet|30|4|5|10|4|1316268|314228|35|-1|10|11|3.6
sildenafil 100 MG Oral Tablet|30|4|6|6|4|1316269|314229|35|-1|11|6.6|3.6
telmisartan 20 MG Oral Tablet|90|30|6|90|30|1317675|282755|95|25|11|99|27
gefitinib 250 MG Oral Tablet|30|28|6|30|15|1319194|349472|35|23|11|33|13.5
24 HR Nisoldipine 20 MG Extended Release Oral Tablet|90|30|6|180|30|1319903|311984|95|25|11|198|27
24 HR Nisoldipine 30 MG Extended Release Oral Tablet|90|30|6|140|30|1319904|311985|95|25|11|154|27
24 HR Nisoldipine 17 MG Extended Release Oral Tablet|90|30|6|90|30|1319972|763519|95|25|11|99|27
24 HR Nisoldipine 25.5 MG Extended Release Oral Tablet|90|30|6|90|30|1319975|763574|95|25|11|99|27
24 HR Nisoldipine 34 MG Extended Release Oral Tablet|90|30|6|90|30|1319978|763589|95|25|11|99|27
4 ML Norepinephrine 1 MG/ML Injection|1|1|0|250|8|1321363|242969|6|-4|5|275|7.2
bosentan 62.5 MG Oral Tablet|30|30|10|60|30|1321637|349253|35|25|15|66|27
bosentan 125 MG Oral Tablet|30|30|10|60|60|1321641|656659|35|25|15|66|54
clopidogrel 300 MG Oral Tablet|90|1|1|45|1|1322189|749196|95|-4|6|49.5|0.9
0.6 ML pegfilgrastim 10 MG/ML Prefilled Syringe|28|1|5|1.2|0.6|1325611|727539|33|-4|10|1.32|0.54
Isradipine 2.5 MG Oral Capsule|90|28|6|180|30|1326013|197848|95|23|11|198|27
Isradipine 5 MG Oral Capsule|90|30|6|180|30|1326014|197849|95|25|11|198|27
Digoxin 0.0625 MG Oral Tablet|90|14|6|90|12|1326349|245273|95|9|11|99|10.8
Digoxin 0.05 MG/ML Oral Solution|60|10|10|180|60|1326437|393245|65|5|15|198|54
24 HR Diltiazem Hydrochloride 420 MG Extended Release Oral Capsule|90|30|7|90|30|1328660|831359|95|25|12|99|27
Diltiazem Hydrochloride 30 MG Oral Tablet|90|7|7|270|24|1328689|833217|95|2|12|297|21.6
quinapril 10 MG Oral Tablet|90|30|5|180|30|1331240|312748|95|25|10|198|27
quinapril 20 MG Oral Tablet|90|30|5|180|30|1331241|312749|95|25|10|198|27
Dipyridamole 50 MG Oral Tablet|90|14|8|360|30|1331312|197622|95|9|13|396|27
Amlodipine 5 MG Oral Tablet|90|30|6|90|30|1332419|197361|95|25|11|99|27
Amlodipine 10 MG / atorvastatin 20 MG Oral Tablet|90|30|5|90|30|1332494|597967|95|25|10|99|27
Amlodipine 2.5 MG / atorvastatin 10 MG Oral Tablet|90|30|5|90|30|1332495|597971|95|25|10|99|27
Amlodipine 2.5 MG / atorvastatin 20 MG Oral Tablet|90|28|6|90|28|1332496|597974|95|23|11|99|25.2
Amlodipine 5 MG / atorvastatin 10 MG Oral Tablet|90|30|5|90|30|1332497|597977|95|25|10|99|27
Amlodipine 5 MG / atorvastatin 40 MG Oral Tablet|90|30|6|90|30|1332499|597984|95|25|11|99|27
Amlodipine 10 MG / atorvastatin 10 MG Oral Tablet|90|30|6|90|30|1332500|597987|95|25|11|99|27
Amlodipine 2.5 MG / atorvastatin 40 MG Oral Tablet|90|30|7|90|30|1332522|597993|95|25|12|99|27
Amlodipine 10 MG / valsartan 160 MG Oral Tablet|90|30|5|90|30|1332525|722126|95|25|10|99|27
